"enabled","id","moduleid","permissionsentity","entityid","group"
"true","AaDKPpRUf5XPJpXMMt9O","asset","multidelete",,"users"
"true","AaDKPpRUf5XPJpXMMt9V","asset","downloadfpo",,"users"
"true","AaDKPpRUf5XPJpXMMt9W","asset","convert",,"users"
"true","AaDKPpRUf5XPJpXMMt9b","asset","embedasset",,"users"
"true","AaDKPpRUf5XPJpXMMt9d","asset","editcategories",,"users"
"true","AaDKPpRUf5XPJpXMMt9g","asset","assetpermissions",,"users"
"true","AaDKPpRUf5XPJpXMMt9k","asset","viewmap",,"users"
"true","AaDKPpRUf5XPJpXMMt9q","asset","viewtimeline",,"users"
"true","AaDKPpRUf5XPJpXMMt9s","asset","downloadcategoryzip",,"users"
"true","AaDKPpRUf5XPJpXMMt9x","asset","viewfaceprofile",,"users"
"true","AaDKPpRUf5XPJpXMMt9y","asset","viewerpermissions",,"users"
"true","AaDKPpRUf5XPJpXMMt91","asset","createwithai",,"users"
"true","AaDKPpRUf5XPJpXMMt93","asset","edit",,"users"
"true","AaDKPpRUf5XPJpXMMt9_","asset","chat_add_attachments",,"users"
"true","AaDKPpRUf5XPJpXMMt-C","asset","chat_message_reactions",,"users"
"true","AaDKPpRUf5XPJpXMMt-H","asset","importfolders",,"users"
"true","AaDKPpRUf5XPJpXMMt-P","asset","assetgeneral",,"users"
"true","AaDKPpRUf5XPJpXMMt-Q","asset","assetstatus",,"users"
"true","AaDKN7FIf5XPJpXMMt0u","asset","viewconversions",,"administrators"
"true","AaDKN7FIf5XPJpXMMt0x","asset","downloadfpo",,"administrators"
"true","AaDKN7FIf5XPJpXMMt0z","asset","viewcategorynav",,"administrators"
"true","AaDKN7FIf5XPJpXMMt00","asset","viewrelatedkeywords",,"administrators"
"true","AaDKN7FIf5XPJpXMMt02","asset","viewvoting",,"administrators"
"true","AaDKN7FIf5XPJpXMMt04","asset","quickpublish",,"administrators"
"true","AaDKN7FJf5XPJpXMMt07","asset","editcategories",,"administrators"
"true","AaDKN7FJf5XPJpXMMt1B","asset","capturehistory",,"administrators"
"true","AaDKN7FJf5XPJpXMMt1H","asset","viewassets",,"administrators"
"true","AaDKN7FJf5XPJpXMMt1N","asset","hidedeletedassets",,"administrators"
"true","AaDKN7FJf5XPJpXMMt1V","asset","createwithai",,"administrators"
"true","AaDKN7FJf5XPJpXMMt1l","asset","importurl",,"administrators"
"true","AaDKN7FJf5XPJpXMMt1p","asset","copyentity",,"administrators"
"true","AaDKN7FIf5XPJpXMMt0m","asset","viewmetadatageneral",,"administrators"
"true","AaDKN7FIf5XPJpXMMt0w","asset","quickdownload",,"administrators"
"true","AaDKN7FJf5XPJpXMMt0-","asset","assetpermissions",,"administrators"
"true","AaDKN7FJf5XPJpXMMt0_","asset","converthistory",,"administrators"
"true","AaDKN7FJf5XPJpXMMt1K","asset","downloadcategoryzip",,"administrators"
"true","AaDKN7FJf5XPJpXMMt1L","asset","showunwatermarkedassets",,"administrators"
"true","AaDKN7FJf5XPJpXMMt1a","asset","assign_files",,"administrators"
"true","AaDKN7FJf5XPJpXMMt1m","asset","importassets",,"administrators"
"true","AaDKN7FJf5XPJpXMMt1n","asset","importfolders",,"administrators"
"true","AaDKN7FJf5XPJpXMMt1v","asset","assetgeneral",,"administrators"
"true","AaDKN7FJf5XPJpXMMt1x","asset","assetfileproperties",,"administrators"
"true","AaDKPpRUf5XPJpXMMt9U","asset","quickdownload",,"users"
"true","AaDKPpRUf5XPJpXMMt9X","asset","viewcategorytree",,"users"
"true","AaDKPpRUf5XPJpXMMt9Y","asset","viewrelatedkeywords",,"users"
"true","AaDKPpRUf5XPJpXMMt9n","asset","mediaeditsaveas",,"users"
"true","AaDKPpRUf5XPJpXMMt9u","asset","showpendingassets",,"users"
"true","AaDKPpRUf5XPJpXMMt9w","asset","viewbreadcrumb",,"users"
"true","AaDKPpRUf5XPJpXMMt-A","asset","chat_send_messages",,"users"
"true","AaDKPpRUf5XPJpXMMt-B","asset","chat_edit_messages",,"users"
"true","AaDKPpRUf5XPJpXMMt-L","asset","downloadall",,"users"
"true","AaDKPpRUf5XPJpXMMt-O","asset","exportpulltoserver",,"users"
"true","AaDKN7FIf5XPJpXMMt0l","asset","editallassets",,"administrators"
"true","AaDKN7FIf5XPJpXMMt0o","asset","deleteasset",,"administrators"
"true","AaDKN7FIf5XPJpXMMt0t","asset","printpreview",,"administrators"
"true","AaDKN7FIf5XPJpXMMt0v","asset","download",,"administrators"
"true","AaDKN7FIf5XPJpXMMt01","asset","viewupload",,"administrators"
"true","AaDKN7FIf5XPJpXMMt03","asset","embedasset",,"administrators"
"true","AaDKN7FJf5XPJpXMMt08","asset","showbadge",,"administrators"
"true","AaDKN7FJf5XPJpXMMt1D","asset","viewmediaedit",,"administrators"
"true","AaDKN7FJf5XPJpXMMt1O","asset","viewbreadcrumb",,"administrators"
"true","AaDKN7FJf5XPJpXMMt1P","asset","viewapprovereject",,"administrators"
"true","AaDKN7FJf5XPJpXMMt1Q","asset","viewallorders",,"administrators"
"true","AaDKN7FJf5XPJpXMMt1S","asset","viewerpermissions",,"administrators"
"true","AaDKN7FJf5XPJpXMMt1b","asset","assign_folders",,"administrators"
"true","AaDKN7FJf5XPJpXMMt1c","asset","share",,"administrators"
"true","AaDKN7FJf5XPJpXMMt1e","asset","view_assetworkflow",,"administrators"
"true","AaDKN7FJf5XPJpXMMt1g","asset","chat_send_messages",,"administrators"
"true","AaDKN7FJf5XPJpXMMt1s","asset","shareentity",,"administrators"
"true","AaDKPpRUf5XPJpXMMt9M","asset","viewmetadatageneral",,"users"
"true","AaDKPpRUf5XPJpXMMt9a","asset","viewvoting",,"users"
"true","AaDKPpRUf5XPJpXMMt9i","asset","viewassetpreviewhistory",,"users"
"true","AaDKPpRUf5XPJpXMMt9j","asset","capturehistory",,"users"
"true","AaDKPpRUf5XPJpXMMt9l","asset","viewmediaedit",,"users"
"true","AaDKPpRUf5XPJpXMMt9o","asset","viewcroppingtool",,"users"
"true","AaDKPpRUf5XPJpXMMt9r","asset","viewclosedcaptions",,"users"
"true","AaDKPpRUf5XPJpXMMt90","asset","create",,"users"
"true","AaDKPpRUf5XPJpXMMt97","asset","assign_folders",,"users"
"true","AaDKPpRUf5XPJpXMMt99","asset","publishinggallery",,"users"
"true","AaDKPpRUf5XPJpXMMt-F","asset","importurl",,"users"
"true","AaDKPpRUf5XPJpXMMt-G","asset","importassets",,"users"
"true","AaDKPpRUf5XPJpXMMt-I","asset","importpushtoserver",,"users"
"true","AaDKPpRUf5XPJpXMMt-J","asset","copyentity",,"users"
"true","AaDKPpRUf5XPJpXMMt-R","asset","assetfileproperties",,"users"
"true","AaDKPpRUf5XPJpXMMt-S","asset","assetlightboxes",,"users"
"true","AaDKN7FIf5XPJpXMMt0p","asset","multidelete",,"administrators"
